scanner,ctype,combo,be,n,nc,wr,er,pf,mdd,r5,lock_n,lock_er,lock_pf,dwr,der,ci_lo,ci_hi,adv_er,sev_er,v512_wr,v512_er,v58_wr,v58_er
EOD_BREAKOUT,SINGLE,G16_FAST_TIGHT,1.2,2020,2020,19.16,-0.391,0.533,934.69,0.0,407,-0.0879,0.879,-25.76,-0.541,-0.4509,-0.3311,-0.4844,-0.5778,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G16_FAST_TIGHT,1.5,2020,2020,19.16,-0.4167,0.518,953.49,0.0,407,-0.0905,0.876,-25.76,-0.5667,-0.4768,-0.3566,-0.5108,-0.6049,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G17_MID_PRICE,0.0,6315,6315,42.57,-0.0439,0.919,607.42,0.0,1541,0.1262,1.255,-2.35,-0.1939,-0.0742,-0.0137,-0.1286,-0.2132,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G17_MID_PRICE,0.5,6315,6315,42.57,0.0638,1.147,423.61,0.0,1541,0.2452,1.653,-2.35,-0.0862,0.035,0.0926,-0.018,-0.0999,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G17_MID_PRICE,0.8,6315,6315,42.57,0.0484,1.107,497.15,0.0,1541,0.216,1.534,-2.35,-0.1016,0.0194,0.0775,-0.0339,-0.1161,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G17_MID_PRICE,1.0,6315,6315,42.57,0.038,1.082,549.7,0.0,1541,0.2015,1.481,-2.35,-0.112,0.0088,0.0672,-0.0446,-0.1271,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G17_MID_PRICE,1.2,6315,6315,42.57,0.031,1.066,560.9,0.0,1541,0.1987,1.471,-2.35,-0.119,0.0017,0.0603,-0.0517,-0.1345,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G17_MID_PRICE,1.5,6315,6315,42.57,0.0163,1.034,573.08,0.0,1541,0.1823,1.416,-2.35,-0.1337,-0.0132,0.0458,-0.0668,-0.15,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G18_ACTIVE_NAME,0.0,9857,9857,41.44,-0.0736,0.868,1111.37,0.0,2272,0.1243,1.248,-3.48,-0.2236,-0.0978,-0.0494,-0.1586,-0.2437,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G18_ACTIVE_NAME,0.5,9857,9857,41.44,0.0358,1.08,910.02,0.0,2272,0.2479,1.655,-3.48,-0.1142,0.0127,0.0588,-0.0465,-0.1287,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G18_ACTIVE_NAME,0.8,9857,9857,41.44,0.0207,1.045,956.43,0.0,2272,0.2313,1.586,-3.48,-0.1293,-0.0025,0.0439,-0.062,-0.1446,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G18_ACTIVE_NAME,1.0,9857,9857,41.44,0.0105,1.022,1004.74,0.0,2272,0.21,1.505,-3.48,-0.1395,-0.0129,0.0338,-0.0724,-0.1553,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G18_ACTIVE_NAME,1.2,9857,9857,41.44,0.0004,1.001,1037.31,0.0,2272,0.2011,1.473,-3.48,-0.1496,-0.0231,0.0238,-0.0828,-0.1659,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G18_ACTIVE_NAME,1.5,9857,9857,41.44,-0.0115,0.977,1044.51,0.0,2272,0.1876,1.428,-3.48,-0.1615,-0.0351,0.012,-0.095,-0.1785,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G19_BULL_TIGHT,0.0,2892,2892,38.31,-0.1306,0.798,473.05,0.0,592,0.263,1.491,-6.61,-0.2806,-0.1783,-0.0828,-0.2182,-0.3058,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G19_BULL_TIGHT,0.5,2892,2892,38.31,-0.0086,0.984,431.51,0.0,592,0.3884,1.947,-6.61,-0.1586,-0.0544,0.0371,-0.0931,-0.1776,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G19_BULL_TIGHT,0.8,2892,2892,38.31,-0.0261,0.952,431.51,0.0,592,0.3795,1.906,-6.61,-0.1761,-0.0722,0.0199,-0.1111,-0.196,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G19_BULL_TIGHT,1.0,2892,2892,38.31,-0.0378,0.932,431.51,0.0,592,0.3478,1.772,-6.61,-0.1878,-0.0841,0.0085,-0.123,-0.2083,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G19_BULL_TIGHT,1.2,2892,2892,38.31,-0.0491,0.913,431.51,0.0,592,0.3389,1.738,-6.61,-0.1991,-0.0956,-0.0027,-0.1347,-0.2203,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G19_BULL_TIGHT,1.5,2892,2892,38.31,-0.0651,0.888,431.51,0.0,592,0.3389,1.738,-6.61,-0.2151,-0.1118,-0.0183,-0.151,-0.237,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G20_BULL_FAST,0.0,2835,2835,19.19,-0.5269,0.459,1492.46,0.0,695,-0.4267,0.546,-25.73,-0.6769,-0.5782,-0.4755,-0.6241,-0.7214,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G20_BULL_FAST,0.5,2835,2835,19.19,-0.3302,0.576,1128.15,0.0,695,-0.2041,0.716,-25.73,-0.4802,-0.3803,-0.2801,-0.4219,-0.5136,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G20_BULL_FAST,0.8,2835,2835,19.19,-0.3556,0.557,1174.12,0.0,695,-0.2422,0.68,-25.73,-0.5056,-0.4059,-0.3053,-0.448,-0.5404,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G20_BULL_FAST,1.0,2835,2835,19.19,-0.3728,0.546,1220.72,0.0,695,-0.2468,0.676,-25.73,-0.5228,-0.4233,-0.3224,-0.4657,-0.5586,44.92,0.15,41.01,-0.074
EOD_BREAKOUT,SINGLE,G20_BULL_FAST,1.2,2835,2835,19.19,-0.39,0.534,1255.93,0.0,695,-0.2575,0.666,-25.73,-0.54,-0.4406,-0.3395,-0.4834,-0.5768,44.92,0.15,41.01,-0.074
