scanner,combo,ctype,be,n_candidates,n_confirmed,n_executed,funnel_pct,wr,er,pf,dwr,der
EOD_BREAKOUT,G3_G7_PCTSTOP_BULL,PAIR,1.0,10523,2766,2766,26.3,43.38,0.0678,1.132,-1.54,-0.0822
EOD_BREAKOUT,G3_G7_PCTSTOP_BULL,PAIR,1.2,10523,2766,2766,26.3,43.38,0.0569,1.108,-1.54,-0.0931
EOD_BREAKOUT,G3_G7_PCTSTOP_BULL,PAIR,1.5,10523,2766,2766,26.3,43.38,0.0409,1.076,-1.54,-0.1091
EOD_BREAKOUT,G4_G7_HRR_BULL,PAIR,0.0,10523,286,286,2.7,45.1,-0.0613,0.87,0.18,-0.2113
EOD_BREAKOUT,G4_G7_HRR_BULL,PAIR,0.5,10523,286,286,2.7,45.1,0.0258,1.067,0.18,-0.1242
EOD_BREAKOUT,G4_G7_HRR_BULL,PAIR,0.8,10523,286,286,2.7,45.1,0.0143,1.036,0.18,-0.1357
EOD_BREAKOUT,G4_G7_HRR_BULL,PAIR,1.0,10523,286,286,2.7,45.1,0.005,1.012,0.18,-0.145
EOD_BREAKOUT,G4_G7_HRR_BULL,PAIR,1.2,10523,286,286,2.7,45.1,-0.0062,0.985,0.18,-0.1562
EOD_BREAKOUT,G4_G7_HRR_BULL,PAIR,1.5,10523,286,286,2.7,45.1,-0.0151,0.965,0.18,-0.1651
EOD_BREAKOUT,G5_G7_FAST_BULL,PAIR,0.0,10523,2835,2835,26.9,19.19,-0.5269,0.459,-25.73,-0.6769
EOD_BREAKOUT,G5_G7_FAST_BULL,PAIR,0.5,10523,2835,2835,26.9,19.19,-0.3302,0.576,-25.73,-0.4802
EOD_BREAKOUT,G5_G7_FAST_BULL,PAIR,0.8,10523,2835,2835,26.9,19.19,-0.3556,0.557,-25.73,-0.5056
EOD_BREAKOUT,G5_G7_FAST_BULL,PAIR,1.0,10523,2835,2835,26.9,19.19,-0.3728,0.546,-25.73,-0.5228
EOD_BREAKOUT,G5_G7_FAST_BULL,PAIR,1.2,10523,2835,2835,26.9,19.19,-0.39,0.534,-25.73,-0.54
EOD_BREAKOUT,G5_G7_FAST_BULL,PAIR,1.5,10523,2835,2835,26.9,19.19,-0.4158,0.518,-25.73,-0.5658
EOD_BREAKOUT,G5_G13_FAST_CLV,PAIR,0.0,10523,1055,1055,10.0,19.81,-0.5109,0.472,-25.11,-0.6609
EOD_BREAKOUT,G5_G13_FAST_CLV,PAIR,0.5,10523,1055,1055,10.0,19.81,-0.316,0.591,-25.11,-0.466
