symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_pattern_type,gate_clv_floor,gate_rvol_floor,gate_upper_wick,gate_risk_pct,naive_baseline_fired,data_source_flags
ABREL,2026-04-07 15:30:00 IST,BULL,2026-04-07 09:15:00 IST,692.74,664.62,734.92,748.98,763.04,777.1,2026-05-01 15:30:00 IST,734.92,TARGET_1,1.5,18,81.0,CUP_HANDLE,True,True,True,4.06,True,NONE
ACMESOLAR,2025-10-21 15:30:00 IST,SIDEWAYS,2025-10-21 09:15:00 IST,290.09,272.69,316.2,324.89,333.59,342.29,2025-11-02 15:30:00 IST,272.69,STOP_LOSS,-1.0,8,88.0,SHAKEOUT_RECLAIM,True,True,True,6.0,True,NONE
ACMESOLAR,2025-12-29 15:30:00 IST,SIDEWAYS,2025-12-29 09:15:00 IST,235.45,221.33,256.64,263.69,270.75,277.81,2026-01-08 15:30:00 IST,221.33,STOP_LOSS,-1.0,9,85.0,V_REVERSAL,True,True,True,6.0,True,NONE
ACMESOLAR,2026-01-30 15:30:00 IST,SIDEWAYS,2026-01-30 09:15:00 IST,225.58,212.05,245.88,252.64,259.41,266.17,2026-02-01 15:30:00 IST,212.05,STOP_LOSS,-1.0,1,84.0,V_REVERSAL,True,True,True,6.0,True,NONE
ACMESOLAR,2026-03-27 15:30:00 IST,BULL,2026-03-27 09:15:00 IST,269.41,253.25,293.65,301.73,309.81,317.89,2026-04-16 15:30:00 IST,293.65,TARGET_1,1.5,12,90.0,WYCKOFF_SPRING_TYPE_2,True,True,True,6.0,True,NONE
ACMESOLAR,2026-04-13 15:30:00 IST,BULL,2026-04-13 09:15:00 IST,284.05,267.01,309.61,318.13,326.65,335.17,2026-04-19 15:30:00 IST,309.61,TARGET_1,1.5,4,87.0,SHAKEOUT_RECLAIM,True,True,True,6.0,True,NONE
ACMESOLAR,2026-05-11 15:30:00 IST,SIDEWAYS,2026-05-11 09:15:00 IST,290.25,272.83,316.38,325.09,333.8,342.51,2026-05-17 15:30:00 IST,272.83,STOP_LOSS,-1.0,5,83.0,HIGHER_LOW_REVERSAL,True,True,True,6.0,True,NONE
ACMESOLAR,2026-06-04 15:30:00 IST,BULL,2026-06-04 09:15:00 IST,345.85,325.1,376.98,387.35,397.73,408.1,2026-06-28 15:30:00 IST,376.98,TARGET_1,1.5,17,90.0,SHAKEOUT_RECLAIM,True,True,True,6.0,True,NONE
ACMESOLAR,2026-06-29 15:30:00 IST,BULL,2026-06-29 09:15:00 IST,379.25,356.5,413.38,424.75,436.12,447.5,2026-07-26 15:30:00 IST,362.4,TIMEOUT_20D,-0.74,20,82.0,V_REVERSAL,True,True,True,6.0,True,NONE
ACC,2025-03-19 15:30:00 IST,BULL,2025-03-19 09:15:00 IST,1525.06,1463.49,1617.42,1648.2,1678.98,1709.77,2025-03-27 15:30:00 IST,1617.42,TARGET_1,1.5,6,89.0,WYCKOFF_SPRING_TYPE_2,True,True,True,4.04,True,NONE
ACC,2025-07-22 15:30:00 IST,BULL,2025-07-22 09:15:00 IST,2132.82,2031.36,2285.0,2335.74,2386.47,2437.2,2025-08-19 15:30:00 IST,2170.44,TIMEOUT_20D,0.37,20,94.0,MULTI_MONTH_BASE_BREAKOUT,True,True,True,4.76,True,NONE
ACC,2025-10-17 15:30:00 IST,BULL,2025-10-17 09:15:00 IST,2618.41,2461.31,2854.06,2932.61,3011.16,3089.71,2025-11-12 15:30:00 IST,2854.06,TARGET_1,1.5,18,84.0,V_REVERSAL,True,True,True,6.0,True,NONE
ACC,2026-02-25 15:30:00 IST,BULL,2026-02-25 09:15:00 IST,3356.03,3252.13,3511.88,3563.83,3615.78,3667.73,2026-03-10 15:30:00 IST,3511.88,TARGET_1,1.5,9,89.0,MULTI_MONTH_BASE_BREAKOUT,True,True,True,3.1,True,NONE
ACC,2026-04-09 15:30:00 IST,BULL,2026-04-09 09:15:00 IST,4050.07,3807.07,4414.58,4536.07,4657.57,4779.07,2026-05-05 15:30:00 IST,3807.07,STOP_LOSS,-1.0,18,79.0,V_REVERSAL,True,True,True,6.0,True,NONE
