symbol,count,mean_R,win_rate
TASTYBITE,42,-0.1429,0.214
ARVINDFASN,42,-0.0358,0.262
SUPREMEIND,42,0.1938,0.381
CRISIL,42,0.2254,0.333
PNBHOUSING,42,0.1429,0.286
MANGLMCEM,42,0.3896,0.357
MAHLIFE,42,0.4058,0.381
HONAUT,42,0.1871,0.357
ARIHANTSUP,42,0.2513,0.31
SAKSOFT,42,0.3333,0.333
INDHOTEL,42,0.4511,0.429
KEC,42,0.3663,0.381
ABB,42,0.744,0.5
PTC,42,0.4977,0.381
TSFINV,42,0.457,0.381
THYROCARE,42,0.4024,0.381
CCL,42,0.354,0.405
KSB,42,0.553,0.429
KTKBANK,42,0.3478,0.381
SMSPHARMA,42,0.6837,0.429
RATNAMANI,41,0.5142,0.415
M&MFIN,41,-0.3038,0.195
DMART,41,0.1505,0.341
VARROC,41,-0.0244,0.244
PGHL,41,0.3742,0.39
RECLTD,41,0.354,0.366
BSOFT,41,0.6799,0.439
INDUSTOWER,41,-0.1771,0.22
CHOLAFIN,41,0.4478,0.39
APOLLOHOSP,41,0.5036,0.439
SHRIRAMFIN,41,0.2503,0.341
KPIGREEN,41,0.5273,0.39
ADANIPORTS,41,0.3002,0.39
GVPIL,41,0.3299,0.366
SHILPAMED,41,0.3659,0.341
HERITGFOOD,41,0.3136,0.341
HESTERBIO,41,0.3886,0.341
ORIENTCEM,41,0.2192,0.317
FOSECOIND,41,0.0882,0.341
DHANUKA,40,0.2588,0.325
SSWL,40,0.4418,0.375
COROMANDEL,40,0.3532,0.4
NCC,40,0.6,0.4
NH,40,0.513,0.5
LTF,40,0.1189,0.3
GOKULAGRO,40,0.3446,0.35
ASHOKLEY,40,0.1308,0.3
GRINDWELL,40,0.4423,0.4
KSCL,40,0.0187,0.3
IEX,40,0.4037,0.375
HUDCO,40,0.3,0.325
FINEORG,40,0.2379,0.325
MHRIL,40,0.1294,0.3
BALMLAWRIE,39,0.0256,0.256
USHAMART,39,0.5736,0.41
HAL,39,0.6906,0.487
CANFINHOME,39,-0.0099,0.282
NPST,39,1.0513,0.513
WHEELS,39,0.1975,0.308
VEEDOL,39,0.3194,0.359
SUNDARMFIN,39,0.205,0.41
GPIL,39,0.1598,0.308
DYCL,39,0.1282,0.282
VBL,39,0.6646,0.436
BAJAJHLDNG,39,0.5252,0.436
INSECTICID,39,-0.0393,0.256
SCHAEFFLER,39,0.3507,0.385
DIVISLAB,39,0.6723,0.487
AJANTPHARM,39,0.1997,0.359
DBCORP,39,0.062,0.256
APOLLO,38,0.4737,0.368
INGERRAND,38,0.5536,0.421
VESUVIUS,38,0.1525,0.316
RALLIS,38,0.0289,0.316
KKCL,38,0.2632,0.316
SAFARI,38,0.8951,0.5
CARERATING,38,0.0827,0.316
VSTTILLERS,38,0.3446,0.368
AUBANK,38,-0.0212,0.289
PRECWIRE,38,0.4067,0.368
IGL,38,0.027,0.289
TNPL,38,-0.1654,0.211
GARFIBRES,38,0.292,0.395
ADVENZYMES,38,0.019,0.263
AFFLE,38,0.2834,0.316
MAHSEAMLES,38,0.4125,0.395
ORIENTHOT,37,0.1047,0.27
ABBOTINDIA,37,0.4706,0.459
HUHTAMAKI,37,0.2486,0.324
MRPL,37,0.3213,0.324
FINCABLES,37,0.2808,0.351
SHAILY,37,0.7297,0.432
RVNL,37,0.5135,0.378
RITES,37,0.1691,0.297
SBIN,37,0.2802,0.405
ALKEM,37,0.1909,0.378
AIAENG,37,0.3479,0.432
ECLERX,37,0.5345,0.405
CERA,37,0.1002,0.27
CESC,37,0.1034,0.297
TVSMOTOR,37,0.6379,0.459
CUMMINSIND,37,0.7395,0.486
TECHNOE,37,0.4097,0.378
FORTIS,37,0.458,0.432
SOTL,37,0.3695,0.351
VENKEYS,36,0.1121,0.306
ATUL,36,0.3144,0.417
LAOPALA,36,0.2088,0.306
MOLDTKPAC,36,0.4485,0.417
TORNTPHARM,36,0.4408,0.472
UNITDSPR,36,0.0839,0.333
MASFIN,36,-0.0901,0.25
CAPACITE,36,0.1111,0.278
FEDERALBNK,36,0.3547,0.444
KPIL,36,0.4507,0.389
SBCL,36,-0.1851,0.222
TEAMLEASE,36,0.3486,0.361
JYOTHYLAB,36,0.1269,0.306
360ONE,35,0.3268,0.4
GPPL,35,0.1271,0.314
PFIZER,35,0.2941,0.457
CREDITACC,35,0.2151,0.371
GLAXO,35,0.1877,0.314
JSLL,35,0.857,0.457
JSWSTEEL,35,0.6849,0.514
CHALET,35,0.6686,0.429
ADANIPOWER,35,0.2693,0.314
BHARTIARTL,35,0.5045,0.543
TITAN,35,0.7072,0.514
GUJGASLTD,35,0.3084,0.314
SIYSIL,35,0.1712,0.314
ACCELYA,35,-0.033,0.286
GAIL,34,0.2342,0.324
