scanner,symbol,signal_timestamp,signal_regime,entry_timestamp,entry_price,stop_loss,target_1,target_2,target_3,target_4,exit_timestamp,exit_price,exit_reason,r_multiple,holding_period_bars_or_days,composite_score,gate_20d_high,gate_vol_surge,gate_rsi_corridor,gate_candle_struct,gate_atr_tightness,gate_52w_prox,naive_baseline_fired,data_source_flags
EOD,DBCORP,2023-01-02 15:30:00 IST,BULL,2023-01-02 09:15:00 IST,131.75,122.35,145.85,150.55,155.25,159.95,2023-01-16 15:30:00 IST,127.2,TIME_EXPIRY,-0.484,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,DBCORP,2023-10-03 15:30:00 IST,BULL,2023-10-03 09:15:00 IST,272.85,253.5,301.88,311.55,321.23,330.9,2023-10-09 15:30:00 IST,253.5,STOP_LOSS,-1.0,4,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,DBCORP,2024-01-05 15:30:00 IST,BULL,2024-01-05 09:15:00 IST,282.35,262.09,312.74,322.87,333.0,343.13,2024-01-19 15:30:00 IST,322.87,TARGET,2.0,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,DBL,2017-03-01 15:30:00 IST,BULL,2017-03-01 09:15:00 IST,328.1,306.85,359.98,370.6,381.23,391.85,2017-03-06 15:30:00 IST,306.85,STOP_LOSS,-1.0,3,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,DBL,2017-07-12 15:30:00 IST,BULL,2017-07-12 09:15:00 IST,521.75,494.51,562.62,576.24,589.86,603.48,2017-07-26 15:30:00 IST,527.45,TIME_EXPIRY,0.2092,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,DBL,2021-02-02 15:30:00 IST,BULL,2021-02-02 09:15:00 IST,460.15,435.09,497.74,510.27,522.8,535.33,2021-02-08 15:30:00 IST,510.27,TARGET,2.0,4,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,DBL,2024-02-19 15:30:00 IST,BULL,2024-02-19 09:15:00 IST,495.45,456.62,553.7,573.11,592.53,611.94,2024-02-21 15:30:00 IST,456.62,STOP_LOSS,-1.0,2,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,DBL,2025-02-04 15:30:00 IST,SIDEWAYS,2025-02-04 09:15:00 IST,448.65,420.15,491.41,505.66,519.91,534.16,2025-02-11 15:30:00 IST,420.15,STOP_LOSS,-1.0,5,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,DCBBANK,2019-01-04 15:30:00 IST,BULL,2019-01-04 09:15:00 IST,173.8,165.69,185.97,190.02,194.08,198.13,2019-01-18 15:30:00 IST,185.55,TIME_EXPIRY,1.4486,10,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
EOD,DCBBANK,2026-01-27 15:30:00 IST,BULL,2026-01-27 09:15:00 IST,199.62,189.4,214.95,220.06,225.17,230.28,2026-02-02 15:30:00 IST,189.4,STOP_LOSS,-1.0,4,84.5,True,True,True,True,True,True,True,UPSTOX_V3_FRESH_2026-09-26
